Time (s),x,y,z
29.999,0.652489376,-0.5824466,-0.625065347
62.357,0.652352624,-0.58258424,-0.623828289
94.742,0.652489376,-0.58237778,-0.625750744
127.124,0.652603336,-0.5823319,-0.626703613
159.507,0.65264892,-0.58226308,-0.627639765
191.888,0.652557752,-0.58237778,-0.625851046
224.275,0.652603336,-0.58230896,-0.627071387
256.658,0.652785672,-0.58212544,-0.629361616
289.04,0.65287684,-0.58205662,-0.630331202
321.423,0.652740088,-0.5822172,-0.628626068
353.808,0.652580544,-0.58235484,-0.626402707
386.191,0.652671712,-0.58228602,-0.62789052
418.574,0.652740088,-0.58228602,-0.627623048
450.96,0.652740088,-0.58228602,-0.627455878
483.343,0.652466584,-0.5825613,-0.624613988
515.728,0.65230704,-0.58265306,-0.623025873
548.113,0.652261456,-0.58272188,-0.621738664
580.497,0.652398208,-0.58251542,-0.624229497
612.886,0.652466584,-0.58253836,-0.623911874
645.261,0.65253496,-0.5824466,-0.625683876
677.646,0.652466584,-0.58249248,-0.625199083
710.027,0.652671712,-0.58226308,-0.628575917
742.411,0.652489376,-0.58246954,-0.625282668
774.792,0.652421,-0.5825613,-0.623761421
807.181,0.652398208,-0.58253836,-0.624346516
839.568,0.652443792,-0.58251542,-0.625115498
871.951,0.652284248,-0.5827907,-0.621738664
904.333,0.652170288,-0.5827907,-0.620919531
936.714,0.652284248,-0.58269894,-0.621972702
969.099,0.652261456,-0.58272188,-0.62137089
1001.484,0.652375416,-0.58260718,-0.622858703
1033.867,0.652329832,-0.58265306,-0.622959005
1066.253,0.652512168,-0.58249248,-0.6252158
1098.636,0.652421,-0.58260718,-0.623778138
1131.021,0.65230704,-0.582676,-0.622440778
1163.402,0.652329832,-0.58265306,-0.622741684
1195.788,0.652238664,-0.5827907,-0.621237154
1228.167,0.652375416,-0.58265306,-0.622775118
1260.554,0.652284248,-0.58274482,-0.622507646
1292.939,0.652056328,-0.58288246,-0.61969919
1325.322,0.652375416,-0.5825613,-0.623962025
1357.706,0.652603336,-0.58235484,-0.626920934
1390.087,0.652421,-0.5825613,-0.624664139
1422.474,0.652512168,-0.58249248,-0.625349536
1454.853,0.65253496,-0.58242366,-0.625366253
1487.24,0.652466584,-0.58258424,-0.624145912
1519.624,0.65207912,-0.5829054,-0.619782775
1552.007,0.652284248,-0.58272188,-0.622006136
1584.392,0.652375416,-0.58265306,-0.623059307
1616.777,0.651987952,-0.58304304,-0.617960622
1649.16,0.651987952,-0.58306598,-0.617559414
1681.542,0.652215872,-0.5827907,-0.620735644
1713.929,0.65219308,-0.5827907,-0.620652059
1746.308,0.651987952,-0.58299716,-0.617659716
